Assembly Accession,Assembly-unit accession,chrom,GC Count,GC Percent,GenBank seq accession,Molecule type,Ordering,RefSeq seq accession,Role,Seq length,UCSC style name,Unlocalized Count,Sequence name
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000199.1,Chromosome,,,unplaced-scaffold,1457,,,Contig_unplaced_130
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000200.1,Chromosome,,,unplaced-scaffold,1455,,,Contig_unplaced_131
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000201.1,Chromosome,,,unplaced-scaffold,1449,,,Contig_unplaced_132
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000202.1,Chromosome,,,unplaced-scaffold,1449,,,Contig_unplaced_133
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000203.1,Chromosome,,,unplaced-scaffold,1445,,,Contig_unplaced_134
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000204.1,Chromosome,,,unplaced-scaffold,1443,,,Contig_unplaced_135
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000205.1,Chromosome,,,unplaced-scaffold,1441,,,Contig_unplaced_136
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000206.1,Chromosome,,,unplaced-scaffold,1435,,,Contig_unplaced_137
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000207.1,Chromosome,,,unplaced-scaffold,1435,,,Contig_unplaced_138
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000208.1,Chromosome,,,unplaced-scaffold,1417,,,Contig_unplaced_139
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000209.1,Chromosome,,,unplaced-scaffold,1408,,,Contig_unplaced_140
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000210.1,Chromosome,,,unplaced-scaffold,1395,,,Contig_unplaced_141
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000211.1,Chromosome,,,unplaced-scaffold,1388,,,Contig_unplaced_142
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000212.1,Chromosome,,,unplaced-scaffold,1382,,,Contig_unplaced_143
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000213.1,Chromosome,,,unplaced-scaffold,1376,,,Contig_unplaced_144
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000214.1,Chromosome,,,unplaced-scaffold,1360,,,Contig_unplaced_145
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000215.1,Chromosome,,,unplaced-scaffold,1359,,,Contig_unplaced_146
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000216.1,Chromosome,,,unplaced-scaffold,1356,,,Contig_unplaced_147
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000217.1,Chromosome,,,unplaced-scaffold,1347,,,Contig_unplaced_148
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000218.1,Chromosome,,,unplaced-scaffold,1319,,,Contig_unplaced_149
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000219.1,Chromosome,,,unplaced-scaffold,1307,,,Contig_unplaced_150
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000220.1,Chromosome,,,unplaced-scaffold,1291,,,Contig_unplaced_151
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000221.1,Chromosome,,,unplaced-scaffold,1284,,,Contig_unplaced_152
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000222.1,Chromosome,,,unplaced-scaffold,1279,,,Contig_unplaced_153
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000223.1,Chromosome,,,unplaced-scaffold,1276,,,Contig_unplaced_154
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000224.1,Chromosome,,,unplaced-scaffold,1264,,,Contig_unplaced_155
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000225.1,Chromosome,,,unplaced-scaffold,1237,,,Contig_unplaced_156
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000226.1,Chromosome,,,unplaced-scaffold,1216,,,Contig_unplaced_157
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000227.1,Chromosome,,,unplaced-scaffold,1209,,,Contig_unplaced_158
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000228.1,Chromosome,,,unplaced-scaffold,1202,,,Contig_unplaced_159
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000229.1,Chromosome,,,unplaced-scaffold,1182,,,Contig_unplaced_160
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000230.1,Chromosome,,,unplaced-scaffold,1162,,,Contig_unplaced_161
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000231.1,Chromosome,,,unplaced-scaffold,1152,,,Contig_unplaced_162
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000232.1,Chromosome,,,unplaced-scaffold,1149,,,Contig_unplaced_163
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000233.1,Chromosome,,,unplaced-scaffold,1147,,,Contig_unplaced_164
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000234.1,Chromosome,,,unplaced-scaffold,1146,,,Contig_unplaced_165
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000235.1,Chromosome,,,unplaced-scaffold,1139,,,Contig_unplaced_166
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000236.1,Chromosome,,,unplaced-scaffold,1139,,,Contig_unplaced_167
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000237.1,Chromosome,,,unplaced-scaffold,1138,,,Contig_unplaced_168
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000238.1,Chromosome,,,unplaced-scaffold,1132,,,Contig_unplaced_169
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000239.1,Chromosome,,,unplaced-scaffold,1124,,,Contig_unplaced_170
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000240.1,Chromosome,,,unplaced-scaffold,1119,,,Contig_unplaced_171
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000241.1,Chromosome,,,unplaced-scaffold,1116,,,Contig_unplaced_172
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000242.1,Chromosome,,,unplaced-scaffold,1107,,,Contig_unplaced_173
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000243.1,Chromosome,,,unplaced-scaffold,1091,,,Contig_unplaced_174
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000244.1,Chromosome,,,unplaced-scaffold,1086,,,Contig_unplaced_175
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000245.1,Chromosome,,,unplaced-scaffold,1076,,,Contig_unplaced_176
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000246.1,Chromosome,,,unplaced-scaffold,1067,,,Contig_unplaced_177
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000247.1,Chromosome,,,unplaced-scaffold,1066,,,Contig_unplaced_178
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000248.1,Chromosome,,,unplaced-scaffold,1065,,,Contig_unplaced_179
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000249.1,Chromosome,,,unplaced-scaffold,1059,,,Contig_unplaced_180
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000250.1,Chromosome,,,unplaced-scaffold,1053,,,Contig_unplaced_181
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000251.1,Chromosome,,,unplaced-scaffold,1045,,,Contig_unplaced_182
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000252.1,Chromosome,,,unplaced-scaffold,1032,,,Contig_unplaced_183
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000253.1,Chromosome,,,unplaced-scaffold,1028,,,Contig_unplaced_184
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000254.1,Chromosome,,,unplaced-scaffold,1027,,,Contig_unplaced_185
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000255.1,Chromosome,,,unplaced-scaffold,1010,,,Contig_unplaced_186
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000256.1,Chromosome,,,unplaced-scaffold,1010,,,Contig_unplaced_187
